#query: tattoo - los angeles - 54
2.0 qid:29 1:5 2:1 3:0 4:0 5:1.3891890049
3.0 qid:29 1:4 2:1 3:1 4:0.6365141683 5:1.0319006443
#query: beer - detroit - 25
2.0 qid:25 1:10 2:1 3:0 4:1.6669547487 5:1.166291475
3.0 qid:25 1:7 2:0 3:0 4:0 5:2.7599489689
3.0 qid:25 1:5 2:0 3:1 4:0.6931471806 5:1.3317892551
1.0 qid:25 1:5 2:1 3:0 4:0 5:0.5367684364
3.0 qid:25 1:4 2:1 3:0 4:1.1537419427 5:0.9586548805
3.0 qid:25 1:2 2:1 3:1 4:0 5:2.0242805481
3.0 qid:25 1:2 2:1 3:1 4:0 5:1.0487678051
1.0 qid:25 1:4 2:0 3:0 4:0.8675632285 5:0.7274966836
2.0 qid:25 1:2 2:1 3:0 4:0 5:1.2111934423
2.0 qid:25 1:2 2:0 3:1 4:1.2527629685 5:1.0307422876
1.0 qid:25 1:2 2:1 3:0 4:0 5:0.7545036077
#query: beer - pittsburgh - 26
3.0 qid:26 1:3 2:1 3:1 4:1.2770342595 5:1.0430310965
2.0 qid:26 1:5 2:0 3:0 4:3.4640098204 5:0.4301827848
1.0 qid:26 1:4 2:1 3:0 4:0 5:0.3626875281
2.0 qid:26 1:2 2:1 3:1 4:0.6931471806 5:2.1934764385
2.0 qid:26 1:2 2:1 3:1 4:0 5:1.4710782766
3.0 qid:26 1:1 2:1 3:1 4:0.6931471806 5:1.2408176661
3.0 qid:26 1:2 2:0 3:1 4:0 5:1.2408176661
3.0 qid:26 1:1 2:1 3:1 4:0 5:1.0222520828
1.0 qid:26 1:2 2:1 3:0 4:0.6365141683 5:0.9583207965
3.0 qid:26 1:2 2:0 3:1 4:2.3693821197 5:0.9438360333
3.0 qid:26 1:1 2:1 3:1 4:0 5:0.7755110264
#query: restaurant - washington - 2
3.0 qid:2 1:2 2:1 3:0 4:0 5:0.2685248852
3.0 qid:2 1:1 2:1 3:0 4:0 5:2.9576888084
1.0 qid:2 1:1 2:1 3:0 4:0 5:2.0386786461
1.0 qid:2 1:1 2:1 3:0 4:0 5:1.570222497
3.0 qid:2 1:2 2:0 3:0 4:0 5:0.9082705379
1.0 qid:2 1:1 2:1 3:0 4:0 5:0.7280995846
3.0 qid:2 1:1 2:1 3:0 4:0.6931471806 5:0.5824796557
3.0 qid:2 1:2 2:0 3:0 4:0.673011667 5:0.4582591057
1.0 qid:2 1:1 2:1 3:0 4:0 5:0.3074057102
1.0 qid:2 1:2 2:0 3:0 4:0 5:0.2276558429
1.0 qid:2 1:1 2:0 3:0 4:0 5:2.9123983383
#query: beer - washington - 17
2.0 qid:17 1:3 2:1 3:0 4:0.9502705392 5:1.5760020018
3.0 qid:17 1:2 2:1 3:1 4:1.6957425342 5:0.7741492391
3.0 qid:17 1:1 2:1 3:1 4:1.7917594692 5:1.2533507347
2.0 qid:17 1:1 2:1 3:1 4:0.6931471806 5:0.8803399205
2.0 qid:17 1:2 2:0 3:1 4:2.8688352779 5:0.3826483786
3.0 qid:17 1:2 2:1 3:0 4:0 5:0.3096621037
2.0 qid:17 1:2 2:0 3:0 4:0 5:3.0385811329
2.0 qid:17 1:1 2:0 3:1 4:0 5:2.3475732803
1.0 qid:17 1:2 2:0 3:0 4:0.6931471806 5:2.3475732803
3.0 qid:17 1:1 2:1 3:0 4:0 5:2.0749812126
2.0 qid:17 1:0 2:1 3:1 4:0 5:1.7341077328
#query: restaurant - boston - 14
2.0 qid:14 1:11 2:1 3:0 4:0.2868359831 5:0.942377329
3.0 qid:14 1:11 2:1 3:0 4:0 5:0.514366567
3.0 qid:14 1:6 2:1 3:1 4:0.7356219398 5:0.7654217482
3.0 qid:14 1:3 2:1 3:1 4:0 5:1.0315161943
3.0 qid:14 1:4 2:1 3:0 4:0.5004024235 5:0.6443626285
2.0 qid:14 1:2 2:1 3:1 4:0 5:1.203435421
2.0 qid:14 1:3 2:1 3:0 4:0 5:0.6864383221
3.0 qid:14 1:4 2:0 3:0 4:0 5:0.4862613678
1.0 qid:14 1:2 2:1 3:0 4:0 5:1.8428601027
2.0 qid:14 1:1 2:1 3:1 4:0 5:1.8146117926
